Job ID,Title,Company,Location,Category,Subcategory,Function,Type,Level,Min Salary,Max Salary,Salary Negotiation,Min Experience,Max Experience,Fresh Graduate,SMA/SMK/STM,Diploma/D1/D2/D3,Sarjana/S1,Master/S2,Doctor/S3,Posted Date,Description,Skill_Set,Link
15758013,Staff Engineering,Rusunami Citypark,Jakarta Barat,Teknik,Teknik Elektro / Elektronika,Teknisi Elektro,Contract,Staff / Officer,3000000,4000000,0,1,2,0,1,0,0,0,0,2025-07-09 17:01:00,"Badan Pengelola Rusunami City Park adalah, Pengelola gedung rusunami9 city park dengan jumlah 15 tower dan 3544 unit. Untuk saat ini kami membutuhkan staff engineering 2 orang

Tanggung Jawab Pekerjaan :
– Melakukan perawatan & perbaikan peralatan di unit apartemen
– Mampu menyelesaikan tugas harian sesuai arahan atasan
– Menjalin komunikasi baik dengan tim, atasan, dan vendor
– Bersedia bekerja mobile di area gedung (indoor & outdoor)

Keahlian :
- Mengerti mekanikal elektrikal dan plumbing
- Memahami Troubleshooting dan Mechanical Ski

Kualifikasi :
- Lulusan SMA/SMK (diutamakan jurusan Teknik Listrik, Mesin, Pendingin, atau Sipil)
- Pengalaman minimal 3 tahun di bidangnya

Tunjangan :
BPJS Ketenagakerjaan

Insentif :
Insentif Lembur","['Plumbing', 'Troubleshooting', 'Mechanical Skiing']",https://www.loker.id/teknik/elektro/staff-engineering-rusunami-citypark-jakarta-barat.html
15785089,Leader Quality Control,PT Mega Indo Prima,Tangerang,Pabrik dan Manufaktur,Mutu Manufaktur (QC/QA),Quality Control,Contract,Supervisor / Coordinator,4000000,5000000,0,1,5,0,0,1,1,0,0,2025-07-09 16:50:00,"Seseorang yang melakukan pengecekan dan pengujian dengan tujuan untuk mengukur serta memastikan kualitas produk telah sesuai dengan standar yang ditetapkan oleh perusahaan dalam bisnis.

Tanggung Jawab Pekerjaan :
- Memeriksa bahan baku dan produk jadi untuk memastikan kesesuaian dengan spesifikasi
- Melakukan pengujian dan inspeksi untuk mengidentifikasi cacat atau ketidaksesuaian
- Menganalisis data dan mengidentifikasi tren atau masalah kualitas
- Menerapkan prosedur pengendalian kualitas untuk mencegah cacat dan meningkatkan proses
- Melaporkan temuan dan merekomendasikan tindakan perbaikan

Keahlian :
- Mampu berkomunikasi dengan baik
- Memiliki pengetahuan tentang persyaratan peraturan yang relevan.
- Memiliki keterampilan & pengetahuan tentang alat, konsep dan metodologi Quality Control (QC).
- Memiliki keterampilan komputer yang baik termasuk Microsoft Office dan database.
- Time management, Mampu bekerja pintar dengan memahami apa yang perlu dilakukan segera, dan apa  yang bisa dilakukan setelahnya adalah hal yang penting bagi seorang Quality Control (QC).

Kualifikasi :
- Pendidikan S1/D3 Semua jurusan
- Berpengalaman dalam pemeriksaan mutu, audit dan pengujian.
- Berpengalaman dengan pelaksanaan program tindakan korektif.
- Berpengalaman khusus dalam produk industri.
- Siap bergabung segera","['Knowledge', 'Relevant Regulatory Requirements', 'Skills', 'Knowledge', 'Tools', 'Concepts', 'Methodologies', 'Qual Control Qc', 'Good Computer Skills', 'Microsoft Office', 'Database', 'Time Management', 'Quality Control Qc']",https://www.loker.id/pabrik-dan-manufaktur/quality-control-pabrik-dan-manufaktur/leader-quality-control-pt-mega-indo-prima-tangerang.html
15784987,Sales Executive,PT Niagamas Lestari Gemilang,Jakarta Barat,Sales / Penjualan,Konsultan Penjualan,Sales Executive,Full Time,Staff / Officer,,,1,1,2,0,1,0,0,0,0,2025-07-09 16:50:00,"PT Niagamas Lestari Gemilang adalah perusahaan distributor yang bergerak di bidang tools & machinery. Kami membuka peluang bagi tenaga profesional yang bersemangat dan berorientasi pada hasil untuk bergabung sebagai Sales Executive.

Tanggung Jawab Pekerjaan :
- Melakukan observasi dan analisis terhadap potensi toko atau daya beli toko.
- Menganalisa ranking produk dibandingkan kompetitor di pasar.
- Melakukan visit customer serta membuka jaringan toko baru (New Open Outlet).
- Melakukan proses pengambilan order dari pelanggan (Taking Order).
- Membuat laporan harian dan bekerjasama dengan SPV untuk operasional aktivitas di customer.
- Memiliki keinginan untuk belajar berdasarkan program baru perusahaan.
- Membangun dan memelihara hubungan baik dengan pelanggan.

Keahlian :
- Menguasai Microsoft Excel, Spreadsheet, dan Google Docs.
- Mampu membangun relasi jangka panjang dengan pelanggan.
- Memahami product knowledge serta strategi pemasaran.
- Memiliki kemampuan komunikasi dan negosiasi yang baik.

Kualifikasi :
- Pendidikan minimal SMA/ SMK
- Memiliki pengalaman kerja minimal 2 tahun di bidang sales di bidang tools & machinery/ sparepart motor/ Mobil/ building material/ cat/ oli.
- Penempatan di Mangga Besar- Jakarta Barat

Waktu Bekerja :
Jam 08.30- 17.30, Hari Senin- Jumat

Tunjangan :
Sewa Motor, Uang Makan, Bensin

Insentif :
Insentif Bulanan","['Microsoft Excel', 'Spreadsheet', 'Google Docs', 'Long -Term Relations', 'Customers', 'Product Knowledge', 'Marketing Strategies', 'Good Communication Skills', 'Negotiations']",https://www.loker.id/penjualan/konsultan-penjualan/sales-executive-pt-niagamas-lestari-gemilang-jakarta-barat.html
15784306,Teknisi Telekomunikasi,PT Pangestu Suryaning Famili,Klaten,IT / Information Technology,Telekomunikasi,Teknisi Jaringan,Contract,Junior / Entry Level,4000000,5000000,0,1,2,1,1,0,0,0,0,2025-07-09 16:45:00,"PT PANGESTU SURYANING FAMILI adalah perusahaan penyalur teknisi yang dipercaya berbagai perusahaan telekomunikasi di Indonesia. Kami membutuhkan tenaga teknisi telekomunikasi yang siap bekerja dan disalurkan ke berbagai project / site di seluruh daerah Indonesia.

Tanggung Jawab Pekerjaan :
Melakukan pekerjaan di tower BTS telekomunikasi meliputi:
- instalasi perangkat
- maintenance
- dan berbagai hal teknis lainnya

Keahlian :
- Memahami cara kerja dan pemeliharaan di BTS
- Berani bekerja dalam ketinggian
- Memiliki kemampuan komunikasi lisan dan tertulis yang baik.
- Terampil dalam penggunaan alat-alat
- Diutamakan bisa setir mobil
- Diutamakan bisa komputer
Tidak ada keahlian khusus selama berani bekerja di ketinggian dan siap di tempatkan di seluruh wilayah di Indonesia.

Kualifikasi :
- Tidak buta warna
- Tidak ada riwayat penyakit jantung,asma, epilepsi

Waktu Bekerja :
Senin - Sabtu","['Bts', 'Height', 'Good Oral Written Communication Skills', 'Use', 'Tools', 'Preferably Steering Wheel', 'Car', 'Preferably Computer', 'Special Expertise', 'Altitude', 'Regions', 'Indonesia']",https://www.loker.id/information-technology/telecommunications/teknisi-telekomunikasi-pt-pangestu-suryaning-famili-klaten.html
15784729,Sales Engineer,PT Asgi Industrial Indonesia,Cikarang,Sales / Penjualan,Konsultan Penjualan,Sales Engineer,Full Time,Staff / Officer,6000000,7000000,0,1,2,0,0,1,1,0,0,2025-07-09 16:28:00,"PT ASGI Industrial Indonesia is a growing industrial company focusing on sales and technical support for Screw and Barrel products, as well as various industrial equipment and components.

Tanggung Jawab Pekerjaan :
- Develop potential customers and maintain good relationships with existing ones
- Perform regular customer visits, product presentations, and demonstrations
- Provide periodic sales reports and market updates
- Achieve sales targets set by the company
- Execute other tasks as assigned by the management

Keahlian :
- Basic knowledge of Screw and Barrel technology is a significant advantage.
- Has a strong marketing mindset and the ability to work towards company targets.
- Honest, meticulous, responsible, and a strong team player.

Kualifikasi :
•	Minimum Diploma 3 (D3) or Bachelor's Degree (S1) in Electrical Engineering, Electronics, Instrumentation, or a related technical field.
•	Posses a valid SIM C/A (Motorcycle/Car Driving License) and owns a vehicle.
•	Minimum 2 years of experience in sales, maintenance, or engineering.

Waktu Bekerja :
08.00-17.00, Senin-Jum'at

Tunjangan :
Uang Makan
Uang Transport
BPJS Kesehatan
BPJS Ketenagakerjaan
Tunjangan Hari Raya

Insentif :
Bonus","['Basic Knowledge', 'Screw Barrel Technology', 'Significant Advantage', 'Strong Marketing Mindset', 'Ability', 'Company Targets', 'Strong Team Player']",https://www.loker.id/penjualan/konsultan-penjualan/sales-engineer-3.html
15784726,Terapis Pijat / Massage Therapist,Sehat Subur Shiatsu,Palembang,Kecantikan & Perawatan,Spa & Pijat Relaksasi,Terapis Massage,Contract,Junior / Entry Level,,,1,1,2,0,1,0,0,0,0,2025-07-09 16:21:00,"Sehat Subur Shiatsu adalah pusat terapi tradisional di Palembang yang mengutamakan kesehatan dan kenyamanan pelanggan melalui layanan pijat dan refleksiologi profesional.

Tanggung Jawab Pekerjaan :
- Memberikan layanan pijat terapi tradisional Shiatsu dan teknik pijat lainnya sesuai permintaan klien
- Memastikan area praktik bersih, nyaman, dan aman
- Mengikuti pelatihan rutin untuk meningkatkan kualitas layanan
- Menjaga etika dan kenyamanan saat melayani pelanggan

Keahlian :
- Memberikan perawatan pijat terapi tradisional Shiatsu dan teknik pijat lainnya sesuai dengan kebutuhan dan preferensi klien.

Kualifikasi :
- Pengalaman di bidang serupa
- Pendidikan minimal SMK

Waktu Bekerja :
10.00 - 21.00 Senin - Minggu

Tunjangan :
Uang makan
Subsidi tempat tinggal","['Traditional Shiatsu Traditional Therapy Treatment', 'Massage Techniques', 'Needs', 'Preferences', 'Client']",https://www.loker.id/kecantikan/spa-pijat-relaksasi/terapis-pijat-massage-therapist-sehat-subur-shiatsu-palembang.html
15784832,Staff Digital Marketing,PT Bintang Lestari Sejahtera,Kabupaten Tangerang,Marketing / Pemasaran,Pemasaran Digital,Digital Marketing,Full Time,Junior / Entry Level,,,1,1,2,0,1,1,1,0,0,2025-07-09 16:19:00,"PT Bintang Lestari Sejahtera membuka kesempatan bagi Anda yang kreatif dan komunikatif untuk bergabung sebagai Staff Digital Marketing. Anda akan bertanggung jawab menjalankan strategi promosi digital melalui media sosial dan iklan online, serta berinteraksi langsung dengan pelanggan untuk meningkatkan penjualan dan brand awareness.

Tanggung Jawab Pekerjaan :
1. Mengelola dan menjalankan iklan digital seperti Google Ads dan Meta Ads
2. Membuat dan mengelola konten promosi untuk media sosial secara rutin
3. Membalas pertanyaan dan menjalin komunikasi dengan calon pelanggan
4. Mengembangkan dan mengelola toko online
5. Melakukan analisis performa digital marketing dan menyusun laporan berkala

Keahlian :
1. Penguasaan platform iklan digital (Google Ads, Facebook Ads, dll)
2. Kemampuan membuat konten media sosial (desain, caption, timing)
3. Mengelola toko online di berbagai platform
4. Mengoperasikan Microsoft Office (Word, Excel, PowerPoint)

Kualifikasi :
1. Pendidikan minimal SMK atau S1 dari jurusan pemasaran atau bidang terkait
2. Pengalaman kerja 1-2 tahun di bidang digital marketing lebih disukai

Waktu Bekerja :
Senin - Jumat, 08.00 - 17.00","['Penguasaan Platform Iklan Digital Google Ads', 'Facebook Ads', 'Dll', 'Caption', 'Mengelola Toko Online Di Berbagai Platform', 'Mengoperasikan Microsoft Office Word', 'Excel', 'Powerpoint']",https://www.loker.id/pemasaran/pemasaran-digital/staff-digital-marketing-pt-bintang-lestari-sejahtera-kabupaten-tangerang.html
15784710,Driver,PT Mitra Inti Elektrindo,Jakarta Barat,Transportasi & Logistik,Driver,Supir Pengiriman,Full Time,Staff / Officer,3000000,4000000,0,3,5,0,1,0,0,0,0,2025-07-09 16:09:00,"PT. Mitra Inti Elektrindo perusahaan yang bergerak di bidang Mekanikal Elektrikal Plumbing membutuhkan Driver mobil Pick Up

Tanggung Jawab Pekerjaan :
1. Merawat, menyiapkan dan mengemudikan kendaraan  operasional untuk mengantar,menjemput, sesuai perintah atasan dalam rangka melaksanakan tugas dan fungsinya.
2. Mempersiapkan peralatan yang di perlukan untuk melakukan perawatan/pemeliharaan serta kebersihan kendaraan agar nyaman saat pemakaian.
3. Bertanggung jawab dengan serah terima kunci kontak dan surat-surat kendaraan  yang akan dipakai kepada unit terkait.
4. Memeriksa keadaan kendaraan dinas sebelum dipakai seperti mesin dan air radiator serta ketersediaan bahan bakar telah terisi.
5. Membersihkan kendaraan sebelum dan sesudah digunakan.
6. Menghidupkan mesin untuk pemanasan selama 5 (lima) menit.
7. Menjaga keamanan & kenyamanan kendaraan yang menjadi tanggung-jawabnya.
8. Mengusulkan pergantian komponen dan perbaikan kendaraan.
9. Memberikan bon bensin, tiket tol dan parkir kepada Unit terkait untuk pegecekan dan pengajuan budget periode selanjutnya.

Keahlian :
1. Mampu berkendara dengan baik
2. Menguasai Area Jabodetabek

Kualifikasi :
- Wajib memiliki SIM A/B1/B2
- Memiliki HP Android/Smartphone
- Mempunyai kendaraan bermotor
- Memiliki pengalaman minimal 3 tahun

Waktu Bekerja :
Jam 09.00 - 17.30",['Jabodetabek Area'],https://www.loker.id/transportation-logistics/driver/driver-pt-mitra-inti-elektrindo-jakarta-barat.html
15784612,Staff Kitchen Pasta,Pastabox - Gading Serpong,Tangerang,Restaurant,Koki / Chef,Koki / Chef,Full Time,Staff / Officer,,,1,1,2,1,1,0,0,0,0,2025-07-09 16:09:00,"PastaBox adalah bisnis kuliner yang fokus pada menu pasta siap saji. Kami mencari tenaga dapur yang teliti, cekatan, dan bertanggung jawab untuk membantu menyajikan makanan berkualitas kepada pelanggan.

Tanggung Jawab Pekerjaan :
- Menyiapkan bahan makanan (memotong, mencuci, menakar)
- Memasak menu sesuai standar operasional (SOP)
- Menjaga kebersihan dapur dan alat masak
- Membantu pengecekan stok harian
- Melaporkan kebutuhan bahan kepada atasan
- Menjalankan prosedur kebersihan dan keamanan makanan

Keahlian :
- Teknik persiapan bahan makanan
- Memasak sesuai SOP
- Menjaga kebersihan dan higienitas dapur
- Menggunakan alat dapur dasar (panci, kompor, timbangan, dll)

Kualifikasi :
- Pendidikan minimal SMA/SMK (diutamakan jurusan tata boga atau sejenis)
- Berpengalaman di dapur/catering/F&B lebih disukai (fresh graduate boleh melamar)

Waktu Bekerja :
Senin - Jumat, Pk 08.30-19.00

Tunjangan :
Uang makan

Insentif :
Bonus per project","['Food Preparation Techniques', 'Soup', 'Cleanliness', 'Hygiene', 'Kitchen', 'Basic Kitchen Equipment', 'Pan', 'Stove', 'Scales']",https://www.loker.id/restaurant/koki/staff-kitchen-pasta-pastabox-gading-serpong-tangerang.html
15784716,Staff Toko,Bing-Electronic,Jakarta Pusat,Ritel,Asisten Ritel,Pramuniaga,Full Time,Junior / Entry Level,2000000,3000000,0,1,5,1,1,1,1,0,0,2025-07-09 16:07:00,"Bing Electronic adalah perusahaan yang bergerak di bidang distribusi alat-alat audio dan sound system. Kami sedang mencari Staff Toko yang jujur, teliti, dan memiliki semangat kerja tinggi untuk bergabung dalam tim kami.

Tanggung Jawab Pekerjaan :
1.Membuat Nota/Surat Jalan/Stock (Banyak bikin pembukuan)
2.Mengedit foto / video produk untuk diupload di akun sosial media toko (Minimal sehari 6 edit)
3.Mengetes barang (membantu menyiapkan barang)
4.Melayani customer via langsung/ by phone

Keahlian :
- Bisa berkomunikasi dengan baik
- Percaya diri (berani bicara secara langsung dan melalui telepon)
- Teliti (karena banyak bikin pembukuan) sangat penting
- Dapat bekerja sama dengan tim
- Mempunyai dasar mengedit barang

Kualifikasi :
1. Lulusan SMA/SMK/D3/S1 Sederajat
2. Sudah mempunyai pengalaman di toko atau Freshdraduate dipersilahkan apply
3. Jika diterima siap untuk langsung bekerja

Waktu Bekerja :
Senin-Jumat Jam 9.00 - 18.00 , Sabtu Jam 8.00 - 18.00 , Minggu dan Tanggal Merah Libur","['Confidence', 'Telephone', 'Bookkeeping', 'Team', 'Basis', 'Goods']",https://www.loker.id/ritel/asisten-ritel/staff-toko-bing-electronic-jakarta-pusat-3.html
