Title,Institution,Type,Duration,Rating,Skills,Description,Link,Category,Subcategory,tokens,embedding
Python for Everybody,University of Michigan,Specialization,3 - 6 Months,4.8,"Database Design, Web Services, Data Collection, Database Management, Data Visualization, Programming Principles, Data Structures, SQL, Database Systems, Restful API, Application Programming Interface (API), JSON","Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",https://www.coursera.org/specializations/python,Computer Science,Software Development,"['database design', 'web services', 'data collection', 'database management', 'data visualization', 'programming principles', 'data structures', 'sql', 'database systems', 'restful api', 'json']","-0.019020982,0.074414805,0.028575987,0.017528506,0.014428457,-0.12194984,0.0066879536,0.14302097,-0.040148623,-0.008242371,-0.027814148,-0.092112064,-0.016199803,0.0365862,0.0018870215,-0.0634332,0.049937904,-0.053645547,-0.002992229,-0.14011432,0.049652208,0.003119725,0.048392598,-0.06440152,-0.029884005,-0.012542596,-0.04128256,-0.057129994,-0.08527935,-0.00847532,0.051983286,0.0021153486,-0.0110294465,-0.07980253,-0.024733491,0.03436397,0.018443115,-0.047461584,-0.02378865,-0.12958385,0.0046320464,-0.0635161,0.0016500299,-0.024980282,0.05504814,-0.042190924,-0.06729329,-0.010885195,0.043376382,0.0701726,-0.00910928,-0.05308726,-0.04000136,0.007697293,-0.0058971476,0.035335332,0.040188625,0.014561584,-0.060912732,0.03316714,-0.0044248076,0.056107674,-0.04386703,-0.009788142,-0.08067599,0.07720953,0.046709586,0.04796274,-0.09736881,0.076110415,-0.027400231,0.01234436,0.067238085,-0.057928383,0.034903195,0.034020856,-0.0025547938,0.0065980926,-0.02643401,0.03369573,-0.043019824,-0.030367456,-0.035153605,0.095379084,0.007225028,-0.011849203,0.013860861,0.09170868,0.077953905,0.023582857,0.061873127,0.006853704,0.011077592,-0.005214241,0.09144442,0.078066275,0.029641384,-0.083479,0.04175408,0.033896714"
Google IT Support,Google,Professional Certificate,3 - 6 Months,4.8,"Network Security, Professional Development, Applicant Tracking Systems, Computer Security, Systems Administration, Technical Support, Network Architecture, Cloud Infrastructure, IT Infrastructure, TCP/IP, Computer Hardware, Computer Networking",The launchpad to a career in IT. This program is designed to take beginner learners to job readiness in about three-to-six months.,https://www.coursera.org/professional-certificates/google-it-support,Information Technology,Support and Operations,"['network security', 'professional development', 'applicant tracking systems', 'computer security', 'systems administration', 'technical support', 'network architecture', 'cloud infrastructure', 'it infrastructure', 'computer hardware', 'computer networking']","-0.014022347,0.062293146,0.022798335,0.017737702,0.0049748938,-0.09686761,0.013600379,0.11320838,-0.02972151,-0.008069855,-0.020916225,-0.07626913,-0.010965568,0.026168324,-0.0027657612,-0.049552068,0.036996454,-0.044132996,-0.005234905,-0.102031164,0.04062099,0.0015554797,0.038324784,-0.05090261,-0.025844125,-0.003213413,-0.034439955,-0.04377601,-0.061320808,-0.0057381634,0.037757415,0.001973565,-0.004033443,-0.058701992,-0.017344208,0.033089,0.014855146,-0.03974147,-0.022024872,-0.097897746,0.0008313075,-0.04500597,2.4149746e-05,-0.01796144,0.039559357,-0.035316795,-0.05008471,-0.0101292385,0.03286366,0.049966335,-0.007248285,-0.03736097,-0.029600633,0.0037467899,-0.014758443,0.026783412,0.027154334,0.007108673,-0.047056545,0.026518177,-0.002504429,0.04000685,-0.030651826,-0.004786141,-0.06609765,0.059725937,0.030763566,0.035065,-0.07107674,0.05875728,-0.021793138,0.011651502,0.05542195,-0.044407357,0.027823133,0.03083125,-0.0019890615,0.0025805174,-0.025511915,0.026713109,-0.031096268,-0.020085828,-0.026771633,0.069197886,-0.00035361506,-0.007227567,0.012672276,0.07125394,0.05903411,0.02184504,0.052905556,0.0063303616,0.007188646,-0.0043217954,0.0720493,0.06270265,0.027999582,-0.06448493,0.03241828,0.023332125"
Google Data Analytics,Google,Professional Certificate,3 - 6 Months,4.8,"Tableau Software, Presentations, Sampling (Statistics), Applicant Tracking Systems, Ggplot2, Data Visualization, Data Cleansing, LinkedIn, Data Validation, Data Presentation, Data Literacy, Spreadsheet Software","Get on the fast track to a career in Data Analytics. In this certificate program, youâll learn in-demand skills, and get AI training from Google experts. Learn at your own pace, no degree or experience required.",https://www.coursera.org/professional-certificates/google-data-analytics,Data Science,Data Analysis,"['tableau software', 'presentations', 'applicant tracking systems', 'data visualization', 'data cleansing', 'linkedin', 'data validation', 'data presentation', 'data literacy', 'spreadsheet software']","-0.010133871,0.05750383,0.01772673,0.01677506,0.013489877,-0.09190091,0.009254779,0.11219071,-0.03297701,-0.00920498,-0.02190356,-0.06415096,-0.013874737,0.027966505,-0.0017772181,-0.047292747,0.03740385,-0.041273393,-0.0010360325,-0.102184035,0.034319464,0.00051297783,0.036388088,-0.048181478,-0.023005059,-0.01221697,-0.028402459,-0.045307107,-0.06709756,-0.005970788,0.041228473,0.0018046083,-0.008462065,-0.06302352,-0.011150448,0.021880034,0.01331684,-0.03625975,-0.018524956,-0.09989666,0.0002876042,-0.044794228,7.0936556e-05,-0.016620409,0.04131924,-0.033013385,-0.0513554,-0.009218174,0.031356044,0.05630257,-0.007209917,-0.04314793,-0.031968035,0.0052438593,-0.0048856484,0.023732215,0.02857154,0.012723915,-0.044227403,0.027281638,-0.004085009,0.04621803,-0.031939376,-0.006757634,-0.06597662,0.054733284,0.040099986,0.036376555,-0.073125616,0.0598635,-0.01841398,0.0067018317,0.052345265,-0.04361682,0.027162245,0.026421294,0.0043002535,0.008654468,-0.024060331,0.026580727,-0.033298783,-0.019732686,-0.02286509,0.07151081,0.0057292534,-0.010671499,0.012624291,0.07408078,0.05931758,0.018841432,0.04219463,0.009959588,0.005644923,-0.00283397,0.07021458,0.052746892,0.02765598,-0.06217634,0.031937547,0.027893892"
Technical Support Fundamentals,Google,Course,1 - 3 Months,4.8,"Computer Architecture, Software Documentation, Linux, Help Desk Support, Microsoft Windows, Computer Hardware, Technical Documentation, End User Training and Support, Technical Support, Desktop Support, Software Installation, Technical Communication, Information Technology, Customer Support, Hardware Troubleshooting, Computer Networking",This course is part of Google IT Support Professional Certificate,https://www.coursera.org/learn/technical-support-fundamentals,Information Technology,Support and Operations,"['computer architecture', 'software documentation', 'linux', 'help desk support', 'microsoft windows', 'computer hardware', 'technical documentation', 'end user training and support', 'technical support', 'desktop support', 'software installation', 'technical communication', 'information technology', 'customer support', 'hardware troubleshooting', 'computer networking']","-0.008200717,0.03603594,0.011378328,0.01002437,0.004667603,-0.055015504,0.0071367132,0.061580084,-0.016531805,-0.005169493,-0.014542886,-0.041561168,-0.0056825345,0.0165142,-0.0008879546,-0.028852904,0.023591846,-0.023530621,-0.0045527364,-0.05747369,0.024929708,0.00046154263,0.021211978,-0.026693989,-0.012671015,-0.003972299,-0.020039387,-0.027120905,-0.033615146,-0.0036382254,0.022361483,0.0030243197,-0.0066604395,-0.033936318,-0.011433976,0.015092932,0.009698762,-0.019483117,-0.011374335,-0.054853637,0.003434963,-0.025745224,0.0011051083,-0.011262738,0.023089467,-0.016565442,-0.028029531,-0.0056420695,0.018181123,0.02942822,-0.0032572916,-0.01999022,-0.019269155,0.0007846894,-0.007296659,0.016207216,0.017764248,0.0048198146,-0.025444096,0.015700787,-0.0052077705,0.023362832,-0.020149563,-0.000901664,-0.03550004,0.0350694,0.018810501,0.01859843,-0.03893415,0.033178892,-0.010134678,0.0052579558,0.028499547,-0.023269212,0.012355318,0.017048182,-0.0023817308,0.0029106804,-0.0162482,0.015623221,-0.018582508,-0.011803939,-0.015079291,0.03864889,0.0030997035,-0.003081248,0.006715482,0.03909344,0.03554932,0.011567049,0.02683349,0.0034759894,0.0047695288,-0.0025647753,0.038524587,0.033665046,0.014143263,-0.035837796,0.016398948,0.016668824"
Deep Learning,DeepLearning.AI,Specialization,3 - 6 Months,4.8,"Artificial Intelligence, Tensorflow, Machine Learning, Applied Machine Learning, Computer Vision, Artificial Neural Networks, PyTorch (Machine Learning Library), Performance Tuning, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Debugging, Natural Language Processing",Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,https://www.coursera.org/specializations/deep-learning,Data Science,Machine Learning,"['artificial intelligence', 'tensorflow', 'machine learning', 'applied machine learning', 'computer vision', 'artificial neural networks', 'performance tuning', 'supervised learning', 'debugging', 'natural language processing']","-0.018141028,0.07864136,0.03047834,0.024464037,0.010214655,-0.12175634,0.01296788,0.14154951,-0.03976942,-0.016944956,-0.03003098,-0.09025343,-0.009727677,0.033719204,-0.0039154487,-0.0640203,0.04795757,-0.053153694,-0.006544317,-0.13242859,0.046452213,0.0072147334,0.044796653,-0.06289588,-0.02821729,-0.010843017,-0.046826683,-0.055328555,-0.08058245,-0.01154814,0.04693508,0.0044264686,-0.010229748,-0.0736842,-0.023957778,0.035548214,0.020623364,-0.04360655,-0.026161402,-0.12164947,0.004283559,-0.059598356,-0.0040315487,-0.028572818,0.052420836,-0.04057474,-0.062017955,-0.012799554,0.04287592,0.06589399,-0.0072744703,-0.04950422,-0.043612085,0.0037609108,-0.008708393,0.031731572,0.03116766,0.013666866,-0.058794457,0.032085128,-0.0076129576,0.05552836,-0.03801119,-0.007600397,-0.08160399,0.072889574,0.04265158,0.04439718,-0.0925768,0.07353872,-0.026123282,0.012670937,0.06374441,-0.057437975,0.037395574,0.03471647,-0.0019387889,0.0032861687,-0.031391475,0.036525168,-0.04280401,-0.022478653,-0.038186572,0.08850578,0.005107143,-0.014488937,0.009895651,0.09150882,0.0775854,0.024392566,0.05814869,0.014104007,0.009322797,-0.002380358,0.08947409,0.07251738,0.029107908,-0.083198115,0.0422834,0.033828743"
Neural Networks and Deep Learning,DeepLearning.AI,Course,1 - 4 Weeks,4.9,"Supervised Learning, Computer Vision, Deep Learning, Machine Learning, Python Programming, Artificial Intelligence, Artificial Neural Networks, Performance Tuning",This course is part of Deep Learning Specialization,https://www.coursera.org/learn/neural-networks-deep-learning,Data Science,Machine Learning,"['supervised learning', 'computer vision', 'deep learning', 'machine learning', 'python programming', 'artificial intelligence', 'artificial neural networks', 'performance tuning']","-0.019215781,0.07134934,0.027761675,0.0245885,0.008366033,-0.11411247,0.013502054,0.12904526,-0.039646506,-0.011820972,-0.027903276,-0.08325709,-0.0118466,0.0306231,-0.0014067948,-0.057994403,0.047466613,-0.04880553,-0.006754294,-0.12191588,0.044547465,0.00806711,0.043609507,-0.058477547,-0.02644961,-0.011368803,-0.041900396,-0.05041345,-0.076429345,-0.011414656,0.044462647,0.00011428009,-0.008280649,-0.06931987,-0.023170598,0.034236744,0.02235708,-0.040648106,-0.021342795,-0.1168677,0.002737166,-0.054187648,-0.0044654417,-0.02520259,0.048433613,-0.04088109,-0.05968757,-0.008648936,0.04234112,0.06346751,-0.007392851,-0.044073567,-0.03884876,0.0032872506,-0.008315062,0.027946305,0.03175884,0.014858854,-0.053140685,0.029045867,-0.005155289,0.051824927,-0.033565726,-0.006479238,-0.07433401,0.0680179,0.039991595,0.037875056,-0.0863716,0.0680129,-0.023259688,0.0135502815,0.059580646,-0.052917134,0.036046017,0.031252835,-0.00033161166,0.0048490823,-0.029241558,0.03094649,-0.039007988,-0.020381946,-0.035764277,0.085037075,0.006234046,-0.015416041,0.007097787,0.08429858,0.071660966,0.022009213,0.051743317,0.015333059,0.010108842,-0.003048968,0.086158015,0.06842517,0.026132073,-0.07718208,0.03938657,0.032049153"
"Foundations: Data, Data, Everywhere",Google,Course,1 - 4 Weeks,4.8,"Data Analysis, Data Cleansing, Spreadsheet Software, Data Visualization, Data Processing, Data Ethics, Google Sheets, Data Management, Data-Driven Decision-Making, Data Sharing, SQL, Data Visualization Software, Analytical Skills",This course is part of Google Data Analytics Professional Certificate,https://www.coursera.org/learn/foundations-data,Data Science,Data Analysis,"['data analysis', 'data cleansing', 'spreadsheet software', 'data visualization', 'data processing', 'data ethics', 'google sheets', 'data management', 'data-driven decision-making', 'data sharing', 'sql', 'data visualization software', 'analytical skills']","-0.015097095,0.086314276,0.029102523,0.026268946,0.018502804,-0.13969226,0.01053744,0.16361064,-0.048714086,-0.010667641,-0.034408517,-0.10143394,-0.020900568,0.040240858,0.00060287904,-0.073224194,0.055052187,-0.05979766,-0.0022583997,-0.15208814,0.05502305,0.0038122998,0.060244076,-0.0710278,-0.036191225,-0.013449117,-0.04515206,-0.06382395,-0.09450496,-0.00839941,0.059130885,0.00030502604,-0.0074436795,-0.09081184,-0.019451793,0.03692825,0.019626569,-0.052409947,-0.029394567,-0.14543365,0.002865211,-0.06885947,-8.480301e-05,-0.027197812,0.061169986,-0.04972073,-0.07484785,-0.01566481,0.052579053,0.0779324,-0.01198665,-0.059942063,-0.045455556,0.0060278615,-0.009096222,0.036687408,0.042169552,0.013232843,-0.06863888,0.039418463,-0.007908784,0.0668171,-0.04372732,-0.014217403,-0.09729622,0.087035075,0.05286285,0.05516678,-0.11006522,0.08677213,-0.032633927,0.0071240687,0.07522195,-0.06367287,0.04005273,0.043777287,-0.0005601681,0.006993661,-0.035728596,0.037957992,-0.04920886,-0.030293424,-0.038163975,0.10579483,0.010074701,-0.016961267,0.016198354,0.11103033,0.087314695,0.028182607,0.06564189,0.009982752,0.012390803,-0.0032937368,0.10045039,0.08326544,0.039802365,-0.0912628,0.044023752,0.039170604"
Introduction to Data Science,IBM,Specialization,3 - 6 Months,4.6,"Database Design, Cloud Computing, Data Analysis Software, Query Languages, Database Management, Jupyter, Big Data, Data Cleansing, Data Mining, Data Science, Data Literacy, Peer Review",Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science.,https://www.coursera.org/specializations/introduction-data-science,Data Science,Data Analysis,"['database design', 'cloud computing', 'data analysis software', 'query languages', 'database management', 'jupyter', 'big data', 'data cleansing', 'data mining', 'data science', 'data literacy', 'peer review']","-0.015576109,0.07422919,0.023080088,0.021290647,0.015727915,-0.11405208,0.012267943,0.13091354,-0.03877835,-0.009159067,-0.027145071,-0.0888038,-0.013809446,0.0313747,-0.0027374066,-0.057156757,0.044741113,-0.050062265,-0.004024791,-0.12477245,0.04465146,0.003473542,0.04980849,-0.060277548,-0.026705926,-0.010249083,-0.036848225,-0.054917846,-0.07584859,-0.0074296966,0.04662198,0.0008693117,-0.006378804,-0.07010629,-0.01948552,0.033327673,0.018448265,-0.041552145,-0.022364624,-0.11949151,0.0020125508,-0.056397993,-0.00042102012,-0.022394175,0.048711192,-0.040569246,-0.06372326,-0.009020404,0.038016807,0.060754742,-0.0115550235,-0.046015933,-0.035511184,0.005831077,-0.0092090415,0.031234728,0.03373985,0.013492346,-0.05452929,0.03289857,-0.0057519595,0.05125602,-0.038002543,-0.008382008,-0.07794496,0.070229866,0.0400214,0.04490685,-0.092065275,0.07000487,-0.027574135,0.009523207,0.06475024,-0.051331226,0.030112565,0.034490224,2.3414497e-05,0.003670999,-0.031408813,0.031974204,-0.041464593,-0.024472205,-0.029056085,0.08559685,0.007570175,-0.013455658,0.016026668,0.084787965,0.07028478,0.02250172,0.055163477,0.0072450284,0.006703116,-0.0047904416,0.08417877,0.07089227,0.03165706,-0.07766923,0.03674833,0.031386886"
Python Data Structures,University of Michigan,Course,1 - 3 Months,4.9,"Development Environment, Data Import/Export, Data Manipulation, File Management, Programming Principles, Data Structures, Python Programming",This course is part of Python for Everybody Specialization,https://www.coursera.org/learn/python-data,Computer Science,Software Development,"['development environment', 'data manipulation', 'file management', 'programming principles', 'data structures', 'python programming']","-0.020565456,0.07625481,0.029116625,0.0169689,0.018131977,-0.12968983,0.011488763,0.14933531,-0.04384777,-0.0070158713,-0.03329793,-0.09541219,-0.014975405,0.036678385,-0.0016369544,-0.06728914,0.05345716,-0.055090886,-0.007326432,-0.143807,0.058318425,0.0052399505,0.050755233,-0.06930387,-0.029972166,-0.01698882,-0.040153433,-0.058459908,-0.08867824,-0.016361794,0.05348584,0.0061388183,-0.013789552,-0.08048626,-0.029638628,0.034444053,0.02214703,-0.046282645,-0.029322363,-0.13339438,0.0020534988,-0.06526096,-0.0027557316,-0.029358743,0.053734567,-0.04455566,-0.067620926,-0.011522227,0.04620792,0.073377885,-0.003645353,-0.05336823,-0.04398438,0.0036350852,-0.011778996,0.0374941,0.03649415,0.014561206,-0.06501924,0.03500503,-0.005133599,0.05786814,-0.045838118,-0.014055628,-0.082205445,0.07959107,0.046943534,0.04472281,-0.101933956,0.07888418,-0.028669275,0.01051247,0.06770001,-0.06324666,0.036557093,0.031764776,-0.00035875826,0.007952411,-0.02825133,0.041192133,-0.049153972,-0.02587075,-0.038770955,0.093690984,0.005357524,-0.013193514,0.011960545,0.09613519,0.08369138,0.021253517,0.06492943,0.013876627,0.010848023,-0.009353846,0.09847667,0.079899155,0.031985216,-0.09283411,0.046389993,0.0383368"
IBM Data Analyst,IBM,Professional Certificate,3 - 6 Months,4.6,"Predictive Modeling, IBM Cognos Analytics, Data Import/Export, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Big Data, Microsoft Excel, Professional Networking, Excel Formulas",Prepare for a career as a data analyst.  Build job-ready skills â and must-have AI skills â for an in-demand career. Earn a credential from IBM.  No prior experience required.,https://www.coursera.org/professional-certificates/ibm-data-analyst,Data Science,Data Analysis,"['predictive modeling', 'ibm cognos analytics', 'generative ai', 'data visualization', 'data wrangling', 'exploratory data analysis', 'dashboard', 'big data', 'microsoft excel', 'professional networking', 'excel formulas']","-0.012153825,0.079185285,0.029867059,0.023826087,0.0149465,-0.1296179,0.009242764,0.15334707,-0.045841027,-0.013765656,-0.03407803,-0.09320665,-0.018137362,0.037185803,0.0001141885,-0.06880375,0.054823514,-0.05660399,-0.006144468,-0.14426516,0.05081887,0.0029272758,0.054345857,-0.068948925,-0.033459425,-0.014548141,-0.046171058,-0.05916318,-0.08784527,-0.009929011,0.052627467,0.0019317399,-0.0051760343,-0.085371405,-0.020107584,0.038363393,0.020793267,-0.048510566,-0.027888518,-0.1371337,0.004511898,-0.064790644,-0.0031657866,-0.02794535,0.058100626,-0.04576613,-0.075468756,-0.01193879,0.049827244,0.072889715,-0.013236693,-0.053823244,-0.04249423,0.0032558204,-0.009872853,0.032491256,0.033798754,0.016809832,-0.06452719,0.038032215,-0.004268129,0.06298604,-0.042691268,-0.012488071,-0.088599354,0.083159834,0.051151726,0.04954517,-0.10465881,0.078287706,-0.029535508,0.010777137,0.07190033,-0.060001466,0.03702778,0.037612427,0.0017835281,0.008712119,-0.034152184,0.032886494,-0.046550944,-0.029840352,-0.036055025,0.09745682,0.007256885,-0.013753333,0.017724656,0.097456664,0.08247348,0.025888419,0.061240975,0.009195796,0.009469869,-0.0072513516,0.095247366,0.07618365,0.035359163,-0.08953386,0.040926334,0.03755519"
